date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,change,changePercent,label,changeOverTime
2015-02-13,43.99,38.14,43.62,37.63,406009,44.5,38.07,44.03,38.06,401296,6.41,16.8531,"Feb 13, 15",0.174524
2015-02-17,43.04,44.7,43.86,42.94,201654,44.38,44.8,44.19,41.81,200645,-1.01,-2.2968,"Feb 17, 15",0.148695
2015-02-18,43,43.75,43.78,41.14,189302,41,43.54,44.43,41.12,189861,-1.32,-3.2355,"Feb 18, 15",0.116445
2015-02-19,41.25,41.17,42.32,41.43,123838,41.71,42.94,43.32,40.97,124067,0.19,0.4762,"Feb 19, 15",0.121938
2015-02-20,44.31,42.62,45.13,40.82,128750,44.51,42.72,45.48,40.7,129257,2.31,5.7886,"Feb 20, 15",0.186561
2015-02-23,43.97,45.15,45.38,42.2,96224,42.99,45.73,44.51,41.92,99428,-1.2,-2.7718,"Feb 23, 15",0.150559
2015-02-24,42.18,42.53,43,40.99,218317,42.68,43.73,44.56,41.94,214450,-1.57,-3.8241,"Feb 24, 15",0.104734
2015-02-25,42.47,42.12,43.39,41.53,102794,42.14,42.25,41.81,42.02,102357,0.74,1.8121,"Feb 25, 15",0.129957
2015-02-26,42.75,42.28,43,41.57,92155,42.74,41.68,43,41.04,92137,0,0,"Feb 26, 15",0.124367
2015-02-27,41.68,43.51,43.76,42.8,153525,41.93,42.54,43.4,41.9,155285,-0.36,-0.8572,"Feb 27, 15",0.11709
2015-03-02,41.96,42.61,43.7,40.73,139002,41.89,41.54,41.7,40.91,138274,0.57,1.3651,"Mar 2, 15",0.134785
2015-03-03,41.75,42.74,42.73,41.07,148024,42.51,42.45,43.77,42.14,147138,-0.06,-0.1455,"Mar 3, 15",0.127982
2015-03-04,41.99,42.45,42.97,41.03,150027,41.15,42.04,41.77,41.76,155146,-1.38,-3.4302,"Mar 4, 15",0.09229
2015-03-05,41.14,41.1,40.42,40.55,108594,41,40.84,40.75,39.36,105461,-0.79,-2.0245,"Mar 5, 15",0.072265
2015-03-06,39.47,39.9,39.38,39,112544,40.23,39.5,39.36,38.5,107250,-0.75,-1.8435,"Mar 6, 15",0.050965
2015-03-09,39.29,40,41.11,38.68,85800,40.78,41,40.56,39.11,88082,0.57,1.4653,"Mar 9, 15",0.066817
2015-03-10,41.27,39.43,40.81,39.38,109537,41.02,39.57,41.91,40.24,109701,0.04,0.1034,"Mar 10, 15",0.069301
2015-03-11,40.28,40.67,41.41,39.87,160100,39.5,41.11,41.34,40.3,161993,-0.27,-0.7146,"Mar 11, 15",0.059161
2015-03-12,41,39.35,41.48,40.62,153644,40.8,40.41,41.22,40.01,152464,1.59,4.1668,"Mar 12, 15",0.102462
2015-03-13,41.3,40,41.7,39.44,143538,39.4,40,42,40.73,148622,-1.2,-3.0276,"Mar 13, 15",0.069856
2015-03-16,39.66,39.49,39.95,38.11,219374,39.33,41.02,39.9,39.52,216368,-0.99,-2.4773,"Mar 16, 15",0.044235
2015-03-17,37.59,38,38.3,37.53,358402,38.87,39,38.5,36.84,350790,-1.13,-2.9249,"Mar 17, 15",0.01214
2015-03-18,42.25,40.15,42.42,40.35,2656871,42.94,40.5,43.06,39.41,2597770,4.53,12.2143,"Mar 18, 15",0.133192
2015-03-19,43.66,41.9,45.28,42.9,518548,43.61,43.41,44.43,42.4,510077,0.5,1.1824,"Mar 19, 15",0.14841
2015-03-20,41.48,44.05,43.67,41.1,407320,42.82,42.6,42.62,41.1,413532,-0.87,-1.9762,"Mar 20, 15",0.125919
2015-03-23,42.33,41.77,42.39,41.42,135358,42.3,42.93,44.21,43.08,131679,-0.3,-0.7318,"Mar 23, 15",0.1174
2015-03-24,41.29,41.64,41.26,40.53,178364,41.66,41.39,41.61,40.37,178072,-1.21,-3.033,"Mar 24, 15",0.084107
2015-03-25,40,40.66,42.13,38.2,261134,39,40.99,41.1,38.8,257905,-1.99,-4.9708,"Mar 25, 15",0.030824
2015-03-26,40,38.4,40.51,38.31,165549,39.09,39.73,40.66,37.88,161990,0.49,1.3206,"Mar 26, 15",0.0443
2015-03-27,39.9,38.5,39.4,39.3,166194,40.8,39.2,39.5,39.7,169747,0.41,1.0752,"Mar 27, 15",0.056429
2015-03-30,40.22,40.7,41.65,40.83,105902,42.12,40.46,40.58,40,104984,1.27,3.384,"Mar 30, 15",0.092798
2015-03-31,41.8,40.6,42.16,41.3,169485,41.5,39.73,40.93,39.58,173435,-0.27,-0.6479,"Mar 31, 15",0.083774
2015-04-01,39.86,41.2,40.52,41,50807,40.12,40.4,41.14,39.9,50452,-0.24,-0.583,"Apr 1, 15",0.078784
2015-04-02,39.99,41.04,41.33,39.4,64407,40.87,41.31,41.3,40.35,64590,-0.49,-1.2528,"Apr 2, 15",0.065636
2015-04-06,40.37,40.52,40.1,39.56,145777,40.62,39.94,40.91,39.36,146230,0.06,0.1552,"Apr 6, 15",0.06658
2015-04-07,40.26,41.3,41.78,39.67,143600,41.08,39.4,40.62,39.39,146249,0.28,0.7058,"Apr 7, 15",0.073845
2015-04-08,39.77,38.7,40.85,39.1,1097345,40.05,38.7,40,39.12,1104786,-0.59,-1.4505,"Apr 8, 15",0.05802
2015-04-09,39,38.73,39.8,37.34,461013,39,39.13,39.65,37.55,459912,-0.97,-2.484,"Apr 9, 15",0.030655
2015-04-10,39.16,39.43,38.96,38.4,469687,39.48,38.93,39.7,39.36,460454,0.55,1.45,"Apr 10, 15",0.046905
2015-04-13,40.6,39.7,39.9,39.44,234295,40.66,39.68,39.74,38.86,238776,0.22,0.5844,"Apr 13, 15",0.052847
2015-04-14,40.32,38.81,39.13,39.08,161304,38.92,38.79,39.82,39.64,160865,0.08,0.2147,"Apr 14, 15",0.055291
2015-04-15,40.75,39.28,41.52,40.21,329596,40.02,40.7,39.95,39.74,335748,0.68,1.782,"Apr 15, 15",0.07506
2015-04-16,41.56,41.38,41.79,38.95,245218,41.32,40.11,40.69,39.78,243015,0.07,0.1806,"Apr 16, 15",0.07687
2015-04-17,39.5,41.06,39.81,38.68,137565,39.8,40.8,39.34,39.45,137780,-0.48,-1.2665,"Apr 17, 15",0.062723
2015-04-20,40.2,40.82,40,40.45,117323,41,40.75,40.51,40.23,120975,0.5,1.2948,"Apr 20, 15",0.074753
2015-04-21,41.04,40,43.42,41.67,355489,42.11,40,42.22,41.41,346992,0.71,1.7409,"Apr 21, 15",0.096663
2015-04-22,40.06,40.23,41.33,39.92,104871,40.9,41.62,41.91,39.45,108290,-1.15,-2.8388,"Apr 22, 15",0.06397
2015-04-23,39.9,39.42,40.25,38.8,166109,40.7,39.94,40.07,40.33,165284,0.5,1.2568,"Apr 23, 15",0.0776
2015-04-24,39.96,41.18,41.25,40.2,137733,40.12,40.33,40.21,39.57,136869,-0.61,-1.537,"Apr 24, 15",0.061297
2015-04-27,40.08,40.32,40.45,39.6,196346,39.34,39.66,39.86,39.8,191974,0.1,0.26,"Apr 27, 15",0.06432
2015-04-28,39.55,40.04,41.24,40.07,115256,39.98,39.88,41.22,39.69,113030,0.05,0.1319,"Apr 28, 15",0.063978
2015-04-29,40.61,39.47,41.3,40.58,113934,39.53,39.13,41.1,39.55,112550,0.3,0.7812,"Apr 29, 15",0.073457
2015-04-30,40.54,39.29,39.95,38.86,91351,39.4,39.55,40.18,39.12,93842,-0.8,-2.085,"Apr 30, 15",0.050574
2015-05-01,39.25,40.54,40.9,39.04,126167,39.87,40.3,40.4,39.3,125674,0.15,0.3651,"May 1, 15",0.055624
2015-05-04,40.71,39.4,42.26,38.92,198072,40.26,40.71,42.15,40.44,198957,1.34,3.6097,"May 4, 15",0.09205
2015-05-05,40.17,40.59,41.43,40.59,252992,40.88,41.57,40.96,41.02,251878,-0.39,-0.9816,"May 5, 15",0.0816
2015-05-06,41.68,40.43,42.23,40.23,234579,41.09,40.96,41.07,40.6,232711,0.44,1.1119,"May 6, 15",0.092717
2015-05-07,49.1,42.34,48,43.28,1177969,48.9,42.79,50,43.28,1198800,7.66,19.3045,"May 7, 15",0.299974
2015-05-08,48.58,49.53,50.89,46.2,477887,47.29,48.52,49.96,45.5,463573,-1.17,-2.5165,"May 8, 15",0.269106
2015-05-11,48.21,46.11,47.51,44.53,598548,46.75,45.64,47.16,45.43,599244,-0.72,-1.4944,"May 11, 15",0.25322
2015-05-12,50.11,47.6,50.85,45.32,330819,50.33,47.18,49.7,45.06,327497,2.52,5.4324,"May 12, 15",0.31984
2015-05-13,51.11,49.7,51,49.21,162954,50.47,50.8,51.2,48.95,162226,0.58,1.2272,"May 13, 15",0.33679
2015-05-14,49.3,49.44,53,50.79,214785,48.9,50.18,53,48.95,221395,-0.25,-0.5159,"May 14, 15",0.326374
2015-05-15,49.4,49.78,51.65,48.39,116575,51.14,51.22,51.68,49.23,114678,0.32,0.6407,"May 15, 15",0.344424
2015-05-18,49.35,50.11,51.46,50.42,151563,50.54,49.22,52.56,49.47,145243,0.2,0.4272,"May 18, 15",0.348996
2015-05-19,51.4,50.75,52.86,50.66,213787,52.3,51.19,51.98,51.05,209001,1.5,3.0567,"May 19, 15",0.377833
2015-05-20,54.23,51.8,54.94,51.5,186058,52.68,52.5,54.16,51.5,185569,1.4,2.7507,"May 20, 15",0.428218
2015-05-21,53.98,53.66,55.21,53.33,156455,55.35,53.52,54.26,54.6,153584,1.16,2.1858,"May 21, 15",0.452123
2015-05-22,55.7,53.32,56.66,53.96,172718,53.2,54.11,57.19,54.52,176512,-0.12,-0.2304,"May 22, 15",0.462718
2015-05-26,54.53,54.1,53.28,54.11,182045,52.5,54.21,55.57,53.02,182760,-0.73,-1.3599,"May 26, 15",0.434357
2015-05-27,54.7,54.57,53.22,54.57,183633,53.27,54.25,55.16,52.15,183043,0.44,0.8485,"May 27, 15",0.439319
2015-05-28,52.76,54.84,53.65,53.3,170596,53.86,55.43,56.23,52.62,174204,-0.99,-1.8105,"May 28, 15",0.417942
2015-05-29,52.9,53.26,54.49,52.52,439793,50.9,53.59,53.41,50.26,452085,-1.21,-2.3301,"May 29, 15",0.386532
2015-06-01,51.8,51.33,51.12,50.56,175879,52.59,52.9,51.63,50.87,174973,-0.68,-1.3203,"Jun 1, 15",0.361418
2015-06-02,49.56,51.77,51.81,46.22,892155,51.27,50.88,51.73,47.26,897704,-1.31,-2.5831,"Jun 2, 15",0.337732
2015-06-03,50.61,50.14,50.39,49.02,481782,50.75,49.17,50.7,50.57,474579,0.6,1.2303,"Jun 3, 15",0.347212
2015-06-04,49.49,50.37,50.6,48.67,221926,49.47,51.42,50.77,49.98,220909,-0.02,-0.0417,"Jun 4, 15",0.349881
2015-06-05,50.57,50.14,51.39,48.09,966611,52.5,51.21,50.87,48.07,949510,0.8,1.629,"Jun 5, 15",0.376465
2015-06-08,51.14,50.1,52.68,51.2,756043,50.95,49.8,52.99,49.44,775973,-0.1,-0.207,"Jun 8, 15",0.368859
2015-06-09,52.18,52.06,51.09,51.98,406918,52.15,50.89,52.11,50.75,423373,0.11,0.2213,"Jun 9, 15",0.380139
2015-06-10,51.43,50.45,52.14,51.39,382082,51.59,51.79,51.92,50.12,375148,0.5,1.0445,"Jun 10, 15",0.38403
2015-06-11,51.75,53.07,53.06,51.57,240688,51.57,51.45,52.53,51.61,232830,-0.2,-0.3798,"Jun 11, 15",0.383904
2015-06-12,51.17,51.76,52.11,51.02,426947,50.95,51.17,52.05,50.69,430925,0.25,0.5016,"Jun 12, 15",0.387663
2015-06-15,53.02,50.6,54.11,49.24,567109,51.34,50.3,51.92,49.66,564279,0.23,0.4493,"Jun 15, 15",0.401168
2015-06-16,51.71,51.74,54.05,50.57,289586,51.18,51.14,54.07,50.38,291577,-0.09,-0.1817,"Jun 16, 15",0.398486
2015-06-17,54.1,53.52,53.2,51.08,453353,51.7,51.19,53.8,52.65,451244,0.67,1.3008,"Jun 17, 15",0.410094
2015-06-18,51.9,51.88,52.46,52.12,391849,52.4,53.35,52.62,51.71,378735,-0.5,-0.977,"Jun 18, 15",0.395259
2015-06-19,49.85,53.28,52.45,51.16,770375,50.42,52.59,53.18,49.41,763693,-1.56,-3.1669,"Jun 19, 15",0.34674
2015-06-22,53.44,49.81,53.93,51.08,387153,52.02,49.99,51.84,50.06,394915,1.74,3.5352,"Jun 22, 15",0.39018
2015-06-23,50.82,51.38,51.78,51.26,362792,51.34,52.19,51.51,52.21,352023,-0.59,-1.1478,"Jun 23, 15",0.381347
2015-06-24,50.42,52.28,52.81,52.21,276107,51.9,52.21,52.07,51.37,276535,-0.39,-0.7648,"Jun 24, 15",0.37391
2015-06-25,51.58,52.8,52.2,49.74,628353,51.15,51.4,51.11,50.04,656858,0.5,0.9965,"Jun 25, 15",0.379549
2015-06-26,49.39,52.39,51.47,48.9,1190875,51.33,52.26,51.23,50.72,1140457,-1.52,-3.1013,"Jun 26, 15",0.346506
2015-06-29,50.03,49.2,50.68,48.46,230256,49.08,50.98,50.25,50.26,226710,-0.66,-1.4001,"Jun 29, 15",0.332048
2015-06-30,51.58,50.35,52,49.99,244644,51.53,49.83,51.9,49.83,238871,1,2.0768,"Jun 30, 15",0.353172
2015-07-01,51.16,50.77,52.5,50.5,264450,49.58,52.17,51,50.3,257567,-0.45,-0.8802,"Jul 1, 15",0.336794
2015-07-02,48.84,51,49.6,49.44,223063,49.26,50,49.67,49.5,225206,-1.7,-3.3722,"Jul 2, 15",0.295523
2015-07-06,48.53,48.44,50.02,49.05,221116,49.54,48.24,48.66,48.79,220680,0.39,0.807,"Jul 6, 15",0.314952
2015-07-07,51.05,48.72,50.63,47.8,369820,50.5,49.32,51.12,46.88,370581,0.71,1.5118,"Jul 7, 15",0.3213
2015-07-08,51.87,50.05,51.02,49.13,244269,51.46,51.55,52.4,50.71,233407,1.1,2.2481,"Jul 8, 15",0.352865
2015-07-09,52,52.32,52.89,49.76,152566,52,49.89,53.45,49.64,153079,0.3,0.5846,"Jul 9, 15",0.365932
2015-07-10,52.87,52.15,52.9,51.68,216549,50.95,51.91,52.71,51.42,214168,0.47,0.94,"Jul 10, 15",0.374778
2015-07-13,52.16,51.74,51.25,49.87,220242,51.72,51.61,52.61,49.79,221352,0.32,0.6311,"Jul 13, 15",0.392
2015-07-14,51.15,52.38,51.7,52.75,95582,52.66,52.29,51.9,52.28,93835,0.24,0.4867,"Jul 14, 15",0.3914
2015-07-15,50.08,51.2,51.73,51.9,154645,51.16,51.65,53.14,51,153710,-0.99,-2.0134,"Jul 15, 15",0.3598
2015-07-16,53.02,50.41,53.4,51.21,214221,54.25,50.87,53.6,50.89,213641,1.67,3.346,"Jul 16, 15",0.40788
2015-07-17,52.67,52.5,52.8,52.38,75916,52.26,53,52.3,52.11,76254,-0.41,-0.7813,"Jul 17, 15",0.410091
2015-07-20,52.84,51.97,53.85,51.5,96959,51.67,53.4,53.53,52.5,98648,-0.54,-1.063,"Jul 20, 15",0.388045
2015-07-21,52.53,51.21,52.69,50.78,84647,52.23,51.18,51.63,51.17,83161,0.02,0.04,"Jul 21, 15",0.386872
2015-07-22,53.23,53,52.32,53.09,141616,54.13,51.2,52.09,51.85,136345,1.03,2.0125,"Jul 22, 15",0.42103
2015-07-23,54.37,53.3,53.43,53.42,273015,54.99,53.6,54.56,53.5,276136,0.94,1.8592,"Jul 23, 15",0.441632
2015-07-24,55,54.93,53.87,54.7,358980,55.9,54.17,55.19,52.9,352187,0.66,1.2415,"Jul 24, 15",0.46711
2015-07-27,53.22,55,54.69,52.55,184483,54.15,53.8,54.92,53.47,184282,-0.55,-1.0034,"Jul 27, 15",0.438605
2015-07-28,53.98,55.17,55.85,53.56,138143,54.38,54.23,55.66,54.47,132420,0.18,0.3472,"Jul 28, 15",0.453091
2015-07-29,54.33,54.64,56.57,53.31,281434,56.1,53.33,57.15,52.03,275213,1.19,2.3136,"Jul 29, 15",0.47277
2015-07-30,54.18,55.84,54.56,53.1,197319,54.61,54.91,54.18,53.2,194299,-0.6,-1.0967,"Jul 30, 15",0.459198
2015-07-31,54.51,54.18,55.32,53.97,201255,54.63,55.52,57.25,55.48,199354,0.42,0.7975,"Jul 31, 15",0.463912
2015-08-03,54.17,53.85,55.4,51.55,296767,52.72,55.8,56,52.63,305953,-1.44,-2.7266,"Aug 3, 15",0.434114
2015-08-04,53.08,54.51,55.32,54.16,93922,55.3,53.45,53.64,53.66,95197,0.47,0.8733,"Aug 4, 15",0.438238
2015-08-05,54.61,53.2,56.2,53.33,268755,54.81,52.9,55.8,53.18,267851,-0.77,-1.4441,"Aug 5, 15",0.436854
2015-08-06,51.05,52.81,52.91,51.4,251856,51.38,53.95,53.73,51.69,260237,-1.74,-3.306,"Aug 6, 15",0.388008
2015-08-07,51.9,56,56,50.92,734534,51.8,55,55,49.35,712847,-0.86,-1.6923,"Aug 7, 15",0.36413
2015-08-10,51.8,49.85,53.01,50.95,386704,52.6,50.52,53.98,49.06,402037,1.46,2.9417,"Aug 10, 15",0.391049
2015-08-11,49.1,51.61,50.95,48.78,407663,48.82,50.98,50.95,49.05,399730,-3.3,-6.5613,"Aug 11, 15",0.306468
2015-08-12,46.23,49.29,48.83,45.66,330278,46.39,49.68,48.45,46.33,335186,-2.2,-4.5941,"Aug 12, 15",0.242666
2015-08-13,47.86,47.12,48.86,46.4,247214,46.34,46.7,47.83,46.94,248200,0.58,1.2653,"Aug 13, 15",0.264141
2015-08-14,49.52,48.38,49.05,46.04,264960,49.09,47.59,49.39,45.93,261298,1.83,3.8953,"Aug 14, 15",0.309761
2015-08-17,48.96,49.95,49.99,46.52,205325,49.77,48.57,49.42,47.32,207234,-0.14,-0.2943,"Aug 17, 15",0.307018
2015-08-18,47.8,49.15,48.69,48.7,108288,47.7,49.05,48.37,48,106024,-0.97,-2.0284,"Aug 18, 15",0.273886
2015-08-19,47.99,48.4,49.01,46.63,98566,46.62,47.4,48.07,47.09,95017,-0.4,-0.8374,"Aug 19, 15",0.2665
2015-08-20,46.94,47,47.93,45.46,247653,47.99,47,48.28,46.38,248990,-0.54,-1.1754,"Aug 20, 15",0.250493
2015-08-21,45.21,45.89,45.3,43.95,324038,45.29,44.78,45.91,44.41,324379,-2.64,-5.8358,"Aug 21, 15",0.184368
2015-08-24,42.81,41.27,46.2,39.76,368206,43.2,41.48,45.36,40,362557,-0.66,-1.533,"Aug 24, 15",0.16518
2015-08-25,43.76,43.94,45.68,44.62,250295,44.1,45.53,46.16,44.13,248045,0.29,0.6573,"Aug 25, 15",0.174869
2015-08-26,45.35,45.67,45.5,45.15,271146,46.33,45.83,46.3,44.98,270206,1.64,3.9367,"Aug 26, 15",0.2189
2015-08-27,46.27,45.6,46.1,44.61,416691,45.43,46.97,45.96,45.17,411527,0.52,1.1496,"Aug 27, 15",0.235283
2015-08-28,48.67,46.98,48.25,46.28,258045,46.93,45.78,48.64,46.62,247655,1.32,2.8149,"Aug 28, 15",0.2667
2015-08-31,48.7,47.09,47.94,46.72,487869,47.95,47.91,49.76,46.11,478947,0.88,1.9767,"Aug 31, 15",0.290851
2015-09-01,47.56,47.45,47.29,47.15,364741,47.2,47.57,47.92,47.16,359182,-1.99,-4.2417,"Sep 1, 15",0.238843
2015-09-02,48,46.14,46.34,46.1,164123,46,47.72,47.43,46.15,168710,0.67,1.4617,"Sep 2, 15",0.252893
2015-09-03,45.92,47.19,47.1,46.43,153318,47.23,47.53,46.3,47.41,151874,-0.39,-0.8434,"Sep 3, 15",0.2412
